Contents,p_content,old_hastag,Hashtag
"🎉🎉🎉SEMINAR #12: Triton Server and TensorRT-LLM 🎉🎉🎉
Chào mừng các bạn đến với sự kiện seminar về ""Triton Server and TensorRT-LLM"". Đây là cơ hội tuyệt vời để tìm hiểu sâu hơn về quá trình deployment các model ML đặc biệt là LLM trên server cũng như là Edge device.
🎤 Diễn giả: Mr. Lê Tân Pha
👨‍💻Công việc hiện tại:
Senior AI Engineer tại MoMo
Founder của NVIAI.
📘 Nội dung chính:
+ Best practices in LLM deployment.
+ LLM deployment with TensorRT-LLM and Triton Server.
+ Deploy LLM model on Edge Device: Jetson Platform
+ Live demo
📅 Hãy đánh dấu lịch và đừng bỏ lỡ cơ hội này để cập nhật kiến thức và kỹ năng mới nhất về Triton và TensorRT. Lê Tân Pha sẽ mang đến cho chúng ta những kinh nghiệm thực tế và bí quyết giúp quá trình deployment trở nên dễ dàng.
Hãy đăng ký tham gia ngay hôm nay để không bỏ lỡ bất kỳ thông tin quý giá nào!
📌 Thời gian: Thứ năm, ngày 23/11/2023, 20:00 - 21:00 GMT+7🎉
📌 Hình thức: Online qua Zoom (https://umu.zoom.us/j/65608200901)
📌 Link đăng ký tham gia: https://forms.gle/xG9vVb2xkWPd4ABA8
🎯CÁC BẠN LƯU Ý LINK ZOOM SẼ XUẤT HIỆN KHI CÁC BẠN SUBMIT FORM, NÊN HÃY LƯU LẠI TRƯỚC NHÉ.
CẢM ƠN CÁC BẠN ĐÃ ĐĂNG KÝ THAM GIA
———————————
Tham gia Facebook Group tại: https://www.facebook.com/groups/mlopsvn/
Tham gia Discord Channel tại: https://discord.gg/JNbQpba9Ae
Theo dõi Linkedin tại:
https://www.linkedin.com/company/mlopsvn/
#mlopsvn #seminar
#TritonServer #LeTanPha #MoMo #LLM #TensorRT","SEMINAR Triton Server and TensorRT-LLM Chào mừng các bạn đến với sự kiện seminar về ""Triton Server and TensorRT-LLM"". Đây là cơ hội tuyệt vời để tìm hiểu sâu hơn về quá trình deployment các model ML đặc biệt là LLM trên server cũng như là Edge device. Diễn giả: Mr. Lê Tân Pha Công việc hiện tại: Senior AI Engineer tại MoMo Founder của NVIAI. Nội dung chính: + Best practices in LLM deployment. + LLM deployment with TensorRT-LLM and Triton Server. + Deploy LLM model on Edge Device: Jetson Platform + Live demo Hãy đánh dấu lịch và đừng bỏ lỡ cơ hội này để cập nhật kiến thức và kỹ năng mới nhất về Triton và TensorRT. Lê Tân Pha sẽ mang đến cho chúng ta những kinh nghiệm thực tế và bí quyết giúp quá trình deployment trở nên dễ dàng. Hãy đăng ký tham gia ngay hôm nay để không bỏ lỡ bất kỳ thông tin quý giá nào! Thời gian: Thứ năm, ngày 23/11/2023, 20:00 - 21:00 GMT+7 Hình thức: Online qua Zoom (https://umu.zoom.us/j/65608200901) Link đăng ký tham gia: https://forms.gle/xG9vVb2xkWPd4ABA8 CÁC BẠN LƯU Ý LINK ZOOM SẼ XUẤT HIỆN KHI CÁC BẠN SUBMIT FORM, NÊN HÃY LƯU LẠI TRƯỚC NHÉ. CẢM ƠN CÁC BẠN ĐÃ ĐĂNG KÝ THAM GIA ——————————— Tham gia Facebook Group tại: https://www.facebook.com/groups/mlopsvn/ Tham gia Discord Channel tại: https://discord.gg/JNbQpba9Ae Theo dõi Linkedin tại: https://www.linkedin.com/company/mlopsvn/",#12:	#mlopsvn	#seminar	#TritonServer	#LeTanPha	#MoMo	#LLM	#TensorRT,
"Kubeflow Summit 2023

Đầu tháng 10 vừa qua mới diễn ra Kubeflow Summit 2023 với chủ đề chính là Kubeflow Pipelines version 2 và Kubeflow use-cases ở một số công ty lớn.
Một số điểm cải thiện nổi bật ở version 2: 
Cải thiện KFP SDK giúp cho việc code các pipeline component dễ dàng hơn và đỡ bị rối mắt. 
Kubeflow pipeline có thể chạy trên các backend khác, không bị phụ thuộc vào Argo nữa.
Cải thiện các visualization trong pipelines.
Cải thiện ML metadata giúp dễ dàng hơn trong việc lineage tracking cho artifacts.
Cải thiện security cho Argo, Minio, .v.v.
Một số tool thú vị được sử dụng bởi các công ty:
Buildpacks (https://buildpacks.io/): được sử dụng bởi Roche cho phép tự động detect và build image từ code
Kyverno (https://kyverno.io/): sử dụng bởi Roblox để validate và mutate các rule và policy trong k8s

Các recordings của Kubeflow Summit:
https://vimeo.com/871171608 
https://vimeo.com/871926867","Kubeflow Summit 2023 Đầu tháng 10 vừa qua mới diễn ra Kubeflow Summit 2023 với chủ đề chính là Kubeflow Pipelines version 2 và Kubeflow use-cases ở một số công ty lớn. Một số điểm cải thiện nổi bật ở version 2: Cải thiện KFP SDK giúp cho việc code các pipeline component dễ dàng hơn và đỡ bị rối mắt. Kubeflow pipeline có thể chạy trên các backend khác, không bị phụ thuộc vào Argo nữa. Cải thiện các visualization trong pipelines. Cải thiện ML metadata giúp dễ dàng hơn trong việc lineage tracking cho artifacts. Cải thiện security cho Argo, Minio, .v.v. Một số tool thú vị được sử dụng bởi các công ty: Buildpacks (https://buildpacks.io/): được sử dụng bởi Roche cho phép tự động detect và build image từ code Kyverno (https://kyverno.io/): sử dụng bởi Roblox để validate và mutate các rule và policy trong k8s Các recordings của Kubeflow Summit: https://vimeo.com/871171608 https://vimeo.com/871926867",,
Tham gia ngay bây giờ thôi mọi người ơi 🎉🎉🎉,Tham gia ngay bây giờ thôi mọi người ơi,,
Mọi người nhanh tay đăng ký tham dự nào 💥💥💥,Mọi người nhanh tay đăng ký tham dự nào,,
"Từ k8s 1.27 là HPA có thể scale dựa trên metrics của từng container rồi nhé các sếp 🫡. Tính năng này cho phép users có thể dễ dàng scale pod dựa trên một container nhất định trong một multi-container pod. Ae nào thử tính năng này chưa nhỉ?
Nguồn: https://www.linkedin.com/feed/update/urn:li:activity:7120265745434853376/
#k8s",Từ k8s 1.27 là HPA có thể scale dựa trên metrics của từng container rồi nhé các sếp . Tính năng này cho phép users có thể dễ dàng scale pod dựa trên một container nhất định trong một multi-container pod. Ae nào thử tính năng này chưa nhỉ? Nguồn: https://www.linkedin.com/feed/update/urn:li:activity:7120265745434853376/,#k8s,
"Analyze the Trade-Offs of Vector Databases
Bài phân tích các giải pháp Vector DB trên nhiều khía cạnh này chắc sẽ hữu ích cho mấy bác đang triển khai các hệ thống LLM.
https://thedataquarry.com/posts/vector-db-4/
#llm #vectordb",Analyze the Trade-Offs of Vector Databases Bài phân tích các giải pháp Vector DB trên nhiều khía cạnh này chắc sẽ hữu ích cho mấy bác đang triển khai các hệ thống LLM. https://thedataquarry.com/posts/vector-db-4/,#llm	#vectordb,
"DopikAI vừa public DPKLLM Benchmark - Bộ benchmark dataset dành riêng cho LLM tiếng Việt, dưới dạng một challenge tổ chức trên aihub. DPKLLM tiến hành đánh giá trên nhiều tập dataset với nhiều tác vụ khác nhau
ViLaw-QA: Tập trung vào vấn đề hỏi đáp trên miền dữ liệu về luật pháp Việt Nam
VitruthfulQA: Tập trung đánh giá tính trung thực của các câu trả lời được sinh bởi LLM (tương tự TruthfulQA nhưng dành cho tiếng Việt)
Các tập dữ liệu chuyên về hỏi đáp của các bên khác như ViWikiQA, ViCoQA, ViNewsQA, ...
Ngoài ra, challenge cũng xem xét đánh giá tác vụ NER với tiếng Việt của LLM
Đây là cơ hội để các cá nhân, tổ chức đang phát triển LLM có thể tham gia đánh giá và so sánh kết quả của mình với các bên khác cũng như trao đổi và học hỏi lẫn nhau. Challenge kéo dài vô thời hạn, và mọi người có thể dễ dàng đăng ký tham gia cũng như submit kết quả lên hệ thống.","DopikAI vừa public DPKLLM Benchmark - Bộ benchmark dataset dành riêng cho LLM tiếng Việt, dưới dạng một challenge tổ chức trên aihub. DPKLLM tiến hành đánh giá trên nhiều tập dataset với nhiều tác vụ khác nhau ViLaw-QA: Tập trung vào vấn đề hỏi đáp trên miền dữ liệu về luật pháp Việt Nam VitruthfulQA: Tập trung đánh giá tính trung thực của các câu trả lời được sinh bởi LLM (tương tự TruthfulQA nhưng dành cho tiếng Việt) Các tập dữ liệu chuyên về hỏi đáp của các bên khác như ViWikiQA, ViCoQA, ViNewsQA, ... Ngoài ra, challenge cũng xem xét đánh giá tác vụ NER với tiếng Việt của LLM Đây là cơ hội để các cá nhân, tổ chức đang phát triển LLM có thể tham gia đánh giá và so sánh kết quả của mình với các bên khác cũng như trao đổi và học hỏi lẫn nhau. Challenge kéo dài vô thời hạn, và mọi người có thể dễ dàng đăng ký tham gia cũng như submit kết quả lên hệ thống.",,
"Xin phép các bác flex tí về đồ án Text Image Retrieval của một học sinh khóa MLE em đang training. Model được deploy trên GKE và expose sử dụng Nginx Ingress. Jenkins để build CI/CD pipeline được deploy trên GCE sử dụng Ansible. Bên cạnh đó, bạn cũng dùng GKE để deploy các monitoring tools để observe hệ thống. README được viết rất chi tiết, nên em hy vọng sẽ là một nguồn tài liệu hữu ích khác bên cạnh MLOps Crash Course :D.
https://github.com/duongngyn0510/continuous-deployment-to-gke-cluster
Mọi người đừng quên động viên bạn ý một Github star nếu thấy có ích nhé ạ ;).
Chúc các bác buổi tối tốt lành!
#mle #mlops","Xin phép các bác flex tí về đồ án Text Image Retrieval của một học sinh khóa MLE em đang training. Model được deploy trên GKE và expose sử dụng Nginx Ingress. Jenkins để build CI/CD pipeline được deploy trên GCE sử dụng Ansible. Bên cạnh đó, bạn cũng dùng GKE để deploy các monitoring tools để observe hệ thống. README được viết rất chi tiết, nên em hy vọng sẽ là một nguồn tài liệu hữu ích khác bên cạnh MLOps Crash Course :D. https://github.com/duongngyn0510/continuous-deployment-to-gke-cluster Mọi người đừng quên động viên bạn ý một Github star nếu thấy có ích nhé ạ ;). Chúc các bác buổi tối tốt lành!",#mle	#mlops,
"RAY SUMMIT 2023 (Sep 18-20)
HEAR FROM THE TEAMS AND LEADERS DEVELOPING THE NEXT GENERATION OF AI APPLICATIONS. LEARN HOW TO DEVELOP AND DEPLOY LLM AND GENERATIVE AI APPLICATIONS WITH OUR HANDS-ON TRAINING AND TUTORIALS.
Hội nghị về LLM và Generative AI tổ chức bởi Ray với speakers đến từ các công ty lớn cho các bác nào quan tâm. Hôm nay là buổi thứ 2 của summit rồi :D
https://raysummit.anyscale.com/
#llm #generativeai #ray",RAY SUMMIT 2023 (Sep 18-20) HEAR FROM THE TEAMS AND LEADERS DEVELOPING THE NEXT GENERATION OF AI APPLICATIONS. LEARN HOW TO DEVELOP AND DEPLOY LLM AND GENERATIVE AI APPLICATIONS WITH OUR HANDS-ON TRAINING AND TUTORIALS. Hội nghị về LLM và Generative AI tổ chức bởi Ray với speakers đến từ các công ty lớn cho các bác nào quan tâm. Hôm nay là buổi thứ 2 của summit rồi :D https://raysummit.anyscale.com/,#llm	#generativeai	#ray,
Chung kết MLOps Marathon 2023 đang live nhé mọi người :v rất nhiều kiến thức hay ho,Chung kết MLOps Marathon 2023 đang live nhé mọi người :v rất nhiều kiến thức hay ho,,
"Cách tính và tối ưu cost của các dịch vụ trên Cloud
Đọc để hiểu xem các dịch vụ tính tiền như thế nào và tối ưu cost ra sao nhé các sếp 😱
https://handbook.vantage.sh/
#costoptimization #aws #cloud",Cách tính và tối ưu cost của các dịch vụ trên Cloud Đọc để hiểu xem các dịch vụ tính tiền như thế nào và tối ưu cost ra sao nhé các sếp https://handbook.vantage.sh/,#costoptimization	#aws	#cloud,
Nhanh tay đăng ký nào các bạn ơi 🎉,Nhanh tay đăng ký nào các bạn ơi,,
"Hello anh chị em trong nhóm 😄,
Bữa giờ chắc mọi người cũng thấy phần online technical seminars dành chung cho các anh em trong group đã tạm pending để nhường chỗ cho chuỗi technical seminars dành riêng cho các bạn tham dự MLOps Marathon. 😞
Tuy nhiên, hôm nay, mình xin phép thay mặt anh em trong đội ngũ admin, trân trọng giới thiệu buổi online seminar về MLOps dành chung cho tất cả anh chị em trong nhóm sẽ quay trở lại vào 8h tối thứ 5 tới đây, với chủ đề về “Optimize ML service’s performance with continuous right-sizing containers in Kubernetes “. 👏👏👏
Hy vọng anh chị em sẽ thấy hứng thú, và nhớ dành thời gian thứ 5 tới đây để lắng nghe những chia sẻ của bác Tạ Tô Minh Chí , là Senior Devops Engineer, đã có kinh nghiệm chinh chiến ở những công ty lớn như MoMo, MISA. Mọi người có thể đặt câu hỏi và thảo luận về những băn khoăn của mình về các chủ đề liên quan một cách thoải mái trong buổi sắp tới nhé! 👉👈
Đừng quên đăng ký theo link bên dưới để tụi mình gửi link Zoom cho các bạn. Thank you! 🙏","Hello anh chị em trong nhóm , Bữa giờ chắc mọi người cũng thấy phần online technical seminars dành chung cho các anh em trong group đã tạm pending để nhường chỗ cho chuỗi technical seminars dành riêng cho các bạn tham dự MLOps Marathon. Tuy nhiên, hôm nay, mình xin phép thay mặt anh em trong đội ngũ admin, trân trọng giới thiệu buổi online seminar về MLOps dành chung cho tất cả anh chị em trong nhóm sẽ quay trở lại vào 8h tối thứ 5 tới đây, với chủ đề về “Optimize ML service’s performance with continuous right-sizing containers in Kubernetes “. Hy vọng anh chị em sẽ thấy hứng thú, và nhớ dành thời gian thứ 5 tới đây để lắng nghe những chia sẻ của bác Tạ Tô Minh Chí , là Senior Devops Engineer, đã có kinh nghiệm chinh chiến ở những công ty lớn như MoMo, MISA. Mọi người có thể đặt câu hỏi và thảo luận về những băn khoăn của mình về các chủ đề liên quan một cách thoải mái trong buổi sắp tới nhé! Đừng quên đăng ký theo link bên dưới để tụi mình gửi link Zoom cho các bạn. Thank you!",,
,nan,,
,nan,,
,nan,,
"Em chào các bác. Sắp ra trường nên em cảm thấy hơi mông lung về sự nghiệp xin được chỉ giáo nhẹ từ những đàn anh đi trước ạ.
Do công việc về MLOps đang không có tuyển fresher nhiều (theo quan sát cá nhân em ạ) nên em đang cân nhắc có nên đi học việc DevOps 1 thời gian tầm 1-3 năm để học thêm về xây dựng điều hành hệ thống không, sau đó mới chuyển sang làm hệ thống ML đặc thù. Tuy nhiên thì do kinh nghiệm SE ít, em cũng không biết liệu thời gian này đi làm SE chuyên code ML model, data pipeline (để nâng tay nghề) có khôn ngoan hơn không ạ.
Em đang phân vân giữa 2 định hướng này, bác nào đi qua có lời khuyên thì em xin được nhận. Cảm ơn các bác đã dành thời gian đọc đến đây ạ. Bài viết trong vội vã nên ngắn và hơi lủng củng có gì mong các bác thứ lỗi.","Em chào các bác. Sắp ra trường nên em cảm thấy hơi mông lung về sự nghiệp xin được chỉ giáo nhẹ từ những đàn anh đi trước ạ. Do công việc về MLOps đang không có tuyển fresher nhiều (theo quan sát cá nhân em ạ) nên em đang cân nhắc có nên đi học việc DevOps 1 thời gian tầm 1-3 năm để học thêm về xây dựng điều hành hệ thống không, sau đó mới chuyển sang làm hệ thống ML đặc thù. Tuy nhiên thì do kinh nghiệm SE ít, em cũng không biết liệu thời gian này đi làm SE chuyên code ML model, data pipeline (để nâng tay nghề) có khôn ngoan hơn không ạ. Em đang phân vân giữa 2 định hướng này, bác nào đi qua có lời khuyên thì em xin được nhận. Cảm ơn các bác đã dành thời gian đọc đến đây ạ. Bài viết trong vội vã nên ngắn và hơi lủng củng có gì mong các bác thứ lỗi.",,
,nan,,
